Datetime,Target
1689687120,1467223
1689687180,1240518
1689687240,1026844
1689687300,2379411
1689687360,2094138
1689687420,1073814
1689687480,994175
1689687540,1018292
1689687600,1197504
1689687660,1016560
1689687720,1135863
1689687780,1300882
1689687840,1960195
1689687900,1025850
1689687960,1319797
1689688020,1099384
1689688080,1276217
1689688140,1145363
1689688200,1102123
1689688260,1033670
1689688320,1665435
1689688380,1315674
1689688440,1391710
1689688500,1325303
1689688560,1164832
1689688620,981622
1689688680,1016716
1689688740,1062469
1689688800,986586
1689688860,1304218
1689688920,1279626
1689688980,1177998
1689689040,1375601
1689689100,1298973
1689689160,1667293
1689689220,1005948
1689689280,1024269
1689689340,1094568
1689689400,2327199
1689689460,1017605
1689689520,1185209
1689689580,1007536
1689689640,1509238
1689689700,1901390
1689689760,1188217
1689689820,1574783
1689689880,1339459
1689689940,1401111
1689690000,1365519
1689690060,1087732
1689690120,1161560
1689690180,1310929
1689690240,1294784
1689690300,1055968
1689690360,1070242
1689690420,1256329
1689690480,1501907
1689690540,1216015
1689690600,1007588
1689690660,1161621
1689690720,874755
1689690780,982020
1689690840,1420168
1689690900,1162282
1689690960,881736
1689691020,1008468
1689691080,1004493
1689691140,1182599
1689691200,1055578
1689691260,1193406
1689691320,1746551
1689691380,885509
1689691440,930891
1689691500,1026967
1689691560,1196019
1689691620,1230196
1689691680,1130163
1689691740,965083
1689691800,1282102
1689691860,1055219
1689691920,907696
1689691980,1083747
1689692040,1199718
1689692100,1073933
1689692160,904397
1689692220,908924
1689692280,1696169
1689692340,1314650
1689692400,1193497
1689692460,1089094
1689692520,1135966
1689692580,1037357
1689692640,2321510
1689692700,1950206
1689692760,1191964
1689692820,1019535
1689692880,931615
1689692940,1579178
1689693000,1071068
1689693060,1055647
1689693120,1116745
1689693180,914296
1689693240,1048506
1689693300,1610427
1689693360,1244073
1689693420,991444
1689693480,978402
1689693540,978026
1689693600,1187090
1689693660,1128843
1689693720,866300
1689693780,1021184
1689693840,1287131
1689693900,998096
1689693960,872272
1689694020,925208
1689694080,942174
1689694140,958474
1689694200,931447
1689694260,938291
1689694320,1171237
1689694380,940128
1689694440,913961
1689694500,1031125
1689694560,1081059
1689694620,998784
1689694680,1239385
1689694740,854997
1689694800,921435
1689694860,1242907
1689694920,926190
1689694980,1062029
1689695040,1032425
1689695100,1344540
1689695160,1209419
1689695220,1021463
1689695280,1023696
1689695340,977994
1689695400,1052519
1689695460,949576
1689695520,1123999
1689695580,1583704
1689695640,1131615
1689695700,1284840
1689695760,1125883
1689695820,1043447
1689695880,1082769
1689695940,1270432
1689696000,1042121
1689696060,1207228
1689696120,1638104
1689696180,881734
1689696240,983714
1689696300,962554
1689696360,975604
1689696420,1120589
1689696480,1388034
1689696540,1483935
1689696600,1614945
1689696660,1717922
1689696720,1277542
1689696780,1051269
1689696840,1044091
1689696900,1065605
1689696960,937827
1689697020,1103752
1689697080,1270321
1689697140,872154
1689697200,989989
1689697260,1319924
1689697320,1133541
1689697380,949703
1689697440,1004027
1689697500,979577
1689697560,1121289
1689697620,1103499
1689697680,952461
1689697740,1136782
1689697800,978414
1689697860,902364
1689697920,1762379
1689697980,1081033
1689698040,1094494
1689698100,981859
1689698160,1716096
1689698220,918330
1689698280,1407983
1689698340,1139981
1689698400,917780
1689698460,1212473
1689698520,1335541
1689698580,1187667
1689698640,1084946
1689698700,1240900
1689698760,1406268
1689698820,1686297
1689698880,1206856
1689698940,1114816
1689699000,959254
1689699060,1178781
1689699120,1755138
1689699180,1341204
1689699240,1023095
1689699300,1124641
1689699360,1128786
1689699420,1011127
1689699480,983317
1689699540,999725
1689699600,977960
1689699660,1462188
1689699720,1301180
1689699780,1330310
1689699840,842703
1689699900,1044869
1689699960,960900
1689700020,1226952
1689700080,858022
1689700140,868642
1689700200,907370
1689700260,830331
1689700320,1118468
1689700380,990628
1689700440,1033993
1689700500,997397
1689700560,896079
1689700620,1220502
1689700680,769247
1689700740,1070752
1689700800,1315606
1689700860,1306048
1689700920,1492326
1689700980,1270696
1689701040,1514382
1689701100,1232864
1689701160,780469
1689701220,899294
1689701280,906146
1689701340,1221505
1689701400,1021883
1689701460,803234
1689701520,981679
1689701580,1314855
1689701640,829696
1689701700,944049
1689701760,1899332
1689701820,785202
1689701880,820182
1689701940,773472
1689702000,863763
1689702060,748982
1689702120,1170716
1689702180,797263
1689702240,808032
1689702300,1179687
1689702360,875212
1689702420,1464515
1689702480,931000
1689702540,976401
1689702600,981126
1689702660,816416
1689702720,1189047
1689702780,1314556
1689702840,1669460
1689702900,1376474
1689702960,850034
1689703020,717061
1689703080,1022665
1689703140,728635
1689703200,739904
1689703260,694518
1689703320,968156
1689703380,796444
1689703440,1081377
1689703500,793637
1689703560,789642
1689703620,2473533
1689703680,780583
1689703740,763461
1689703800,770641
1689703860,753926
1689703920,896654
1689703980,745041
1689704040,746036
1689704100,821874
1689704160,808372
1689704220,1699348
1689704280,585722
1689704340,635547
